phi_1,phi_2_mode,phi_2_err_m,phi_2_err_p,width_mode,width_err_m,width_err_p,peak_int_mode,peak_int_err_m,peak_int_err_p,linear_density_mode,linear_density_err_m,linear_density_err_p
0.09999999999999964,0.05952197571661897,0.03490679325314414,0.08194681246410973,0.1633414511205467,0.15049177816082643,0.17887745809227423,261.91236422864927,221.58009653865258,302.06585662833623,107.2364292811294,83.58598316426944,135.44007558128976
0.3000000000000007,0.055905325710613685,0.030651640396181665,0.0791568048895791,0.1640753037595652,0.1514203317297013,0.1800746750905635,257.00679904471554,216.76644192354414,297.4639448038151,105.70067574463032,82.27467520088956,134.26935635351612
0.5000000000000018,0.052995051845096036,0.02663532483374839,0.07686079440604732,0.16467941075903098,0.1520582962690806,0.18089396083536088,251.41957886623885,212.01341615262152,291.60272489404093,103.7835048702129,80.80968207710536,132.22256573905554
0.7000000000000011,0.05052220835895807,0.02339304456149923,0.07549378627576636,0.1652924212300292,0.15259593207956268,0.18164832059694658,248.0169367218203,211.104104038375,289.682632351769,102.76002818140354,80.74758957396564,131.8996914036103
0.9000000000000004,0.04668908488564352,0.01885800832102029,0.07284230116350854,0.16588055973622626,0.1536161118962002,0.18296578572441594,245.26681690815573,208.30501241224772,284.2502478300728,101.98216351625709,80.20961343846646,130.36489861204106
1.0999999999999996,0.04399589975171946,0.01510967548442163,0.07094753315292233,0.16651436735164954,0.15429647749785266,0.1838362588882672,243.50874241831667,209.16838465793748,282.71568994238413,101.63802178997162,80.89878296218747,130.27798085408588
1.3000000000000007,0.04234794824185146,0.010894050847427485,0.06856213075858261,0.1671954587387373,0.15481242477003418,0.18448379811976254,241.43842650018266,209.50996804534822,280.5223996165685,101.18608745916214,81.3018518216608,129.7226197405286
1.5000000000000018,0.03938443513048183,0.007906273569495186,0.06713769540299179,0.1677658005130816,0.15553378618541688,0.18537782078460752,242.3513121564558,209.84645123900313,278.3638131103746,101.91514884913039,81.81186773669029,129.34822803882906
1.700000000000001,0.036173900678227885,0.004273070971362945,0.064755113935858,0.1685295058102415,0.15634772994433083,0.1864679688884917,243.7366188772364,212.84109551925178,280.7029456063244,102.96429820851927,83.41362587543877,131.20220818800962
1.9000000000000004,0.03270141648938542,0.0011175914931579323,0.06246622622500828,0.1692368734341095,0.15690494758900053,0.18719693596906614,243.59401653467822,213.30922308576973,280.2546542436652,103.33597558048567,83.89502470092896,131.50476934330914
2.0999999999999996,0.027426453975859764,-0.0013474755110890538,0.06057463142249644,0.17004208008122787,0.15782156124902838,0.18841910582979696,244.03105484563062,213.83232208100648,281.0268832242214,104.01391431515516,84.59206400076599,132.7280577981386
2.3000000000000007,0.025606240485622114,-0.0026455900443064853,0.059293041690811885,0.17081232057231685,0.1577362236437949,0.1884370310040628,245.18045944611157,214.03824420654848,283.21241447660515,104.97719919492076,84.62774194431579,133.7730021339495
2.5000000000000018,0.02539134524230703,-0.005051934310100406,0.05673479858267398,0.17169981582340957,0.1584968497482435,0.1893721547594555,249.95869815131,212.25508720146394,283.7031430477473,107.57912746889944,84.32739350318792,134.66979598382272
2.700000000000001,0.03185541024037115,-0.003760514377544635,0.05748821627562694,0.17242688289044525,0.1594879508155892,0.19058249449937437,255.5809364733017,211.78672606122487,285.8468982032578,110.46466210091391,84.66746346228082,136.5546285283879
2.9000000000000004,0.031342682386848175,-0.004373161288584143,0.055931805482731835,0.1732401197378418,0.16002643062758504,0.19130081424826156,257.1869105750841,210.77550803267107,287.79920715072745,111.68305133815335,84.54769993354432,138.00548443383425
3.1000000000000014,0.028951268871131905,-0.0024860806980815525,0.056134023609766194,0.17400794193300098,0.16108415670255494,0.19263210849973658,249.37761217631228,207.54345375215664,285.9450513370192,108.77183790923742,83.80150179409713,138.07059532193324
3.3000000000000025,0.026994500463006985,-0.0007285592984860034,0.056501407851166294,0.17489260959434394,0.16087582705773235,0.19242479964830728,249.41446653357198,207.17911197701272,287.8397743919335,109.34099759680653,83.54619860008391,138.83590092894764
3.5000000000000018,0.03146025960280269,0.003192906537373058,0.059500021176507795,0.17582712697067682,0.1613402421754234,0.19306783292417298,244.456049318494,205.51230779401345,287.2006901620477,107.7399085878352,83.11329016355921,138.99056978397485
3.700000000000001,0.033822057084126486,0.005955651902234654,0.06186840418813804,0.1768622448314254,0.1626509111248837,0.19475798732516766,240.8118363993805,201.8599241663891,282.63802765596245,106.75860659520971,82.29937561951431,137.9798936137846
3.9000000000000004,0.03219235414856121,0.007000605632940108,0.06329798003342453,0.17809811635308753,0.16337382328241243,0.1957033979714427,237.23584103326328,197.7536597250134,276.0567937361167,105.90819397971478,80.98357342534665,135.42122562917422
4.100000000000001,0.03724896548798999,0.010297392938070415,0.06810360979590888,0.179104614639034,0.16426614480016982,0.1969694560220475,232.7203641208649,194.86813881653663,270.86844427370465,104.47950288092224,80.2377674172984,133.73566238314982
4.3000000000000025,0.04475704861958402,0.01251203136574476,0.07251633102411745,0.1801285308119895,0.16493649976653021,0.19798254271598073,226.68473946409748,188.68818582062767,261.41855093608854,102.35162098155956,78.01020459710391,129.73382860140703
4.500000000000002,0.046688691910357225,0.01448757884978831,0.07812979930913982,0.18088138908497733,0.1652264901935655,0.19851286913685412,219.2488208759138,183.4379275121182,254.3658084646953,99.407942510814,75.9729074108439,126.57191009644818
4.700000000000001,0.05025636203927676,0.01613078192217611,0.08373550943782952,0.18172448459637777,0.16687434256654685,0.20069042980687296,208.722735616541,176.11893682513323,245.40265518389867,95.07648954955368,73.66913270421001,123.45135315075416
